lead_id,customer_id,lead_source_id,employee_id,country_id,lead_created_date,converted_to_account,converted_to_sale,converted_to_installation,days_to_account,days_to_sale,days_to_installation,lead_quality_score,created_at
50032,CUST-10032,8,U1014,1,2022-09-04,1,1,1,478.0,478.0,0.0,0.9,2026-05-24 06:07:05.471695
50033,CUST-10033,5,U1011,3,2022-05-15,1,1,1,567.0,567.0,0.0,0.9,2026-05-24 06:07:05.471695
50034,CUST-10034,2,U1003,2,2024-01-18,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50035,CUST-10035,6,U1016,2,2023-07-27,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50036,CUST-10036,3,U1017,1,2023-06-13,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50037,CUST-10037,3,U1003,1,2023-11-07,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50038,CUST-10038,4,U1014,1,2022-02-03,1,1,1,14.0,14.0,314.0,0.984444,2026-05-24 06:07:05.471695
50039,CUST-10039,8,U1014,2,2023-02-21,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50040,CUST-10040,6,U1003,2,2023-07-31,1,1,1,30.0,30.0,0.0,0.966667,2026-05-24 06:07:05.471695
50041,CUST-10041,1,U1008,3,2022-03-02,1,1,1,147.0,147.0,0.0,0.9,2026-05-24 06:07:05.471695
50042,CUST-10042,3,U1011,3,2023-09-20,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50043,CUST-10043,3,U1016,2,2022-08-02,1,1,1,509.0,509.0,10.0,0.9,2026-05-24 06:07:05.471695
50044,CUST-10044,3,U1014,2,2023-02-27,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50045,CUST-10045,4,U1003,3,2024-03-08,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50046,CUST-10046,5,U1016,3,2022-07-24,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50047,CUST-10047,2,U1017,2,2022-11-13,1,1,1,231.0,231.0,0.0,0.9,2026-05-24 06:07:05.471695
50048,CUST-10048,1,U1011,1,2022-11-27,1,1,1,350.0,350.0,0.0,0.9,2026-05-24 06:07:05.471695
50049,CUST-10049,8,U1017,2,2022-07-15,1,1,1,272.0,272.0,44.0,0.9,2026-05-24 06:07:05.471695
50050,CUST-10050,7,U1008,2,2023-10-10,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50051,CUST-10051,4,U1003,3,2023-01-25,1,1,1,0.0,0.0,146.0,1.0,2026-05-24 06:07:05.471695
50052,CUST-10052,8,U1016,3,2022-12-29,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50053,CUST-10053,1,U1017,2,2022-06-25,1,1,1,536.0,536.0,0.0,0.9,2026-05-24 06:07:05.471695
50054,CUST-10054,2,U1008,1,2023-06-18,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50055,CUST-10055,8,U1003,3,2022-02-08,1,1,1,351.0,351.0,485.0,0.9,2026-05-24 06:07:05.471695
50056,CUST-10056,5,U1003,3,2023-12-10,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50057,CUST-10057,2,U1008,2,2023-06-07,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50058,CUST-10058,1,U1016,2,2023-04-01,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50059,CUST-10059,6,U1008,2,2022-01-20,1,1,1,9.0,9.0,333.0,0.99,2026-05-24 06:07:05.471695
50060,CUST-10060,7,U1017,1,2023-08-17,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50061,CUST-10061,2,U1003,2,2024-02-06,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50062,CUST-10062,5,U1017,1,2023-10-20,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50063,CUST-10063,7,U1014,3,2024-02-24,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50064,CUST-10064,3,U1017,2,2022-05-19,1,1,1,0.0,0.0,168.0,1.0,2026-05-24 06:07:05.471695
50065,CUST-10065,2,U1014,1,2023-03-15,1,1,1,0.0,0.0,49.0,1.0,2026-05-24 06:07:05.471695
50066,CUST-10066,3,U1016,1,2022-07-02,1,1,1,25.0,25.0,1.0,0.972222,2026-05-24 06:07:05.471695
50067,CUST-10067,6,U1016,2,2024-02-26,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50068,CUST-10068,6,U1017,1,2022-04-05,1,1,1,361.0,361.0,94.0,0.9,2026-05-24 06:07:05.471695
50069,CUST-10069,6,U1008,1,2023-03-09,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50070,CUST-10070,4,U1011,1,2023-04-08,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50071,CUST-10071,4,U1017,3,2023-03-04,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50072,CUST-10072,4,U1008,1,2023-12-03,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50073,CUST-10073,2,U1014,1,2022-11-05,1,1,1,0.0,0.0,197.0,1.0,2026-05-24 06:07:05.471695
50074,CUST-10074,1,U1016,1,2023-08-05,1,1,1,25.0,25.0,0.0,0.972222,2026-05-24 06:07:05.471695
50075,CUST-10075,2,U1017,1,2023-10-07,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50076,CUST-10076,6,U1016,1,2023-12-22,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50077,CUST-10077,8,U1003,1,2022-07-01,1,1,1,211.0,211.0,39.0,0.9,2026-05-24 06:07:05.471695
50078,CUST-10078,2,U1008,3,2023-03-11,1,1,1,54.0,54.0,0.0,0.94,2026-05-24 06:07:05.471695
50079,CUST-10079,4,U1017,1,2022-01-03,1,1,1,318.0,318.0,287.0,0.9,2026-05-24 06:07:05.471695
50080,CUST-10080,6,U1003,2,2022-07-27,1,1,1,118.0,118.0,104.0,0.9,2026-05-24 06:07:05.471695
50081,CUST-10081,3,U1003,2,2022-10-08,1,1,1,121.0,121.0,131.0,0.9,2026-05-24 06:07:05.471695
50082,CUST-10082,3,U1008,2,2022-09-19,1,1,1,0.0,0.0,156.0,1.0,2026-05-24 06:07:05.471695
50083,CUST-10083,5,U1017,3,2022-03-10,1,1,1,524.0,524.0,221.0,0.9,2026-05-24 06:07:05.471695
50084,CUST-10084,5,U1011,3,2023-04-13,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50085,CUST-10085,4,U1011,2,2024-01-23,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50086,CUST-10086,8,U1016,1,2023-09-28,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50087,CUST-10087,3,U1011,3,2022-05-02,1,1,1,244.0,244.0,321.0,0.9,2026-05-24 06:07:05.471695
50088,CUST-10088,6,U1016,1,2024-03-08,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50089,CUST-10089,3,U1017,2,2022-08-11,1,1,1,0.0,0.0,314.0,1.0,2026-05-24 06:07:05.471695
50090,CUST-10090,3,U1003,2,2022-12-27,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50091,CUST-10091,5,U1008,2,2022-01-19,1,1,1,672.0,672.0,508.0,0.9,2026-05-24 06:07:05.471695
50092,CUST-10092,5,U1008,2,2023-05-22,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50093,CUST-10093,1,U1016,3,2023-12-01,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50094,CUST-10094,7,U1017,3,2022-05-25,1,1,1,142.0,142.0,305.0,0.9,2026-05-24 06:07:05.471695
50095,CUST-10095,4,U1017,2,2023-04-26,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50096,CUST-10096,2,U1014,1,2022-02-21,1,1,1,606.0,606.0,390.0,0.9,2026-05-24 06:07:05.471695
50097,CUST-10097,5,U1008,3,2022-10-19,1,1,1,153.0,153.0,152.0,0.9,2026-05-24 06:07:05.471695
50098,CUST-10098,1,U1016,2,2022-11-21,1,1,1,176.0,176.0,182.0,0.9,2026-05-24 06:07:05.471695
50099,CUST-10099,5,U1008,3,2023-05-21,1,1,1,183.0,183.0,0.0,0.9,2026-05-24 06:07:05.471695
50100,CUST-10100,6,U1014,1,2023-03-05,1,1,1,55.0,55.0,0.0,0.938889,2026-05-24 06:07:05.471695
50101,CUST-10101,7,U1008,1,2023-03-03,1,1,1,195.0,195.0,0.0,0.9,2026-05-24 06:07:05.471695
50102,CUST-10102,6,U1016,1,2023-04-30,1,1,1,0.0,0.0,38.0,1.0,2026-05-24 06:07:05.471695
50103,CUST-10103,4,U1008,2,2024-02-17,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50104,CUST-10104,8,U1016,2,2023-03-15,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50105,CUST-10105,4,U1003,2,2022-07-18,1,1,1,320.0,320.0,0.0,0.9,2026-05-24 06:07:05.471695
50106,CUST-10106,2,U1016,1,2022-04-08,1,1,1,134.0,134.0,291.0,0.9,2026-05-24 06:07:05.471695
50107,CUST-10107,3,U1008,1,2023-12-20,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50108,CUST-10108,1,U1016,2,2023-09-12,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50109,CUST-10109,8,U1011,1,2024-02-26,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50110,CUST-10110,6,U1016,1,2022-03-09,1,1,1,0.0,0.0,22.0,1.0,2026-05-24 06:07:05.471695
50111,CUST-10111,6,U1008,2,2023-07-20,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50112,CUST-10112,6,U1016,1,2022-07-18,1,1,1,0.0,0.0,119.0,1.0,2026-05-24 06:07:05.471695
50113,CUST-10113,7,U1014,2,2022-12-24,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50114,CUST-10114,5,U1014,3,2023-11-13,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50115,CUST-10115,6,U1003,3,2022-11-30,1,1,1,342.0,342.0,131.0,0.9,2026-05-24 06:07:05.471695
50116,CUST-10116,1,U1014,1,2022-07-21,1,1,1,247.0,247.0,0.0,0.9,2026-05-24 06:07:05.471695
50117,CUST-10117,4,U1017,1,2022-02-04,1,1,1,32.0,32.0,161.0,0.964444,2026-05-24 06:07:05.471695
50118,CUST-10118,8,U1016,2,2022-03-20,1,1,1,336.0,336.0,182.0,0.9,2026-05-24 06:07:05.471695
50119,CUST-10119,6,U1011,2,2022-04-30,1,1,1,462.0,462.0,0.0,0.9,2026-05-24 06:07:05.471695
50120,CUST-10120,7,U1003,2,2022-10-25,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50121,CUST-10121,2,U1003,1,2023-04-18,1,1,1,70.0,70.0,0.0,0.922222,2026-05-24 06:07:05.471695
50122,CUST-10122,4,U1016,2,2023-03-17,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50123,CUST-10123,1,U1011,2,2023-01-22,1,1,1,94.0,94.0,0.0,0.9,2026-05-24 06:07:05.471695
50124,CUST-10124,5,U1017,3,2023-12-11,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50125,CUST-10125,5,U1017,2,2024-03-01,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50126,CUST-10126,3,U1011,1,2024-01-16,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50127,CUST-10127,6,U1008,1,2023-05-09,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50128,CUST-10128,4,U1011,2,2024-01-20,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50129,CUST-10129,5,U1011,3,2023-04-03,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50130,CUST-10130,4,U1014,3,2022-12-20,1,1,1,238.0,238.0,10.0,0.9,2026-05-24 06:07:05.471695
50131,CUST-10131,1,U1003,2,2023-08-21,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50132,CUST-10132,7,U1011,1,2022-06-05,1,1,1,208.0,208.0,0.0,0.9,2026-05-24 06:07:05.471695
50133,CUST-10133,2,U1016,2,2022-03-17,1,1,1,488.0,488.0,203.0,0.9,2026-05-24 06:07:05.471695
50134,CUST-10134,6,U1011,2,2024-03-02,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50135,CUST-10135,5,U1003,3,2022-06-02,1,1,1,190.0,190.0,321.0,0.9,2026-05-24 06:07:05.471695
50136,CUST-10136,8,U1016,2,2022-08-30,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50137,CUST-10137,8,U1003,1,2023-05-13,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50138,CUST-10138,4,U1016,2,2022-05-23,1,1,1,0.0,0.0,379.0,1.0,2026-05-24 06:07:05.471695
50139,CUST-10139,5,U1016,2,2023-11-13,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50140,CUST-10140,1,U1008,3,2023-03-30,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50141,CUST-10141,6,U1008,1,2023-10-05,1,1,1,4.0,4.0,0.0,0.995556,2026-05-24 06:07:05.471695
50142,CUST-10142,7,U1016,2,2022-02-27,1,1,1,517.0,517.0,0.0,0.9,2026-05-24 06:07:05.471695
50143,CUST-10143,7,U1017,1,2024-02-07,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50144,CUST-10144,7,U1014,2,2023-08-23,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50145,CUST-10145,8,U1016,1,2024-03-01,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50146,CUST-10146,3,U1014,2,2022-01-08,1,1,1,161.0,161.0,174.0,0.9,2026-05-24 06:07:05.471695
50147,CUST-10147,7,U1003,1,2022-01-13,1,1,1,100.0,100.0,501.0,0.9,2026-05-24 06:07:05.471695
50148,CUST-10148,3,U1008,3,2023-06-14,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50149,CUST-10149,4,U1016,2,2022-05-03,1,1,1,541.0,541.0,171.0,0.9,2026-05-24 06:07:05.471695
50150,CUST-10150,3,U1014,2,2023-07-09,1,1,1,63.0,63.0,0.0,0.93,2026-05-24 06:07:05.471695
50151,CUST-10151,8,U1016,1,2022-09-29,1,1,1,138.0,138.0,0.0,0.9,2026-05-24 06:07:05.471695
50152,CUST-10152,4,U1003,2,2022-07-06,1,1,1,406.0,406.0,0.0,0.9,2026-05-24 06:07:05.471695
50153,CUST-10153,6,U1008,3,2022-11-14,1,1,1,280.0,280.0,0.0,0.9,2026-05-24 06:07:05.471695
50154,CUST-10154,2,U1017,1,2023-12-27,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50155,CUST-10155,2,U1011,2,2022-06-26,1,1,1,396.0,396.0,302.0,0.9,2026-05-24 06:07:05.471695
50156,CUST-10156,4,U1016,1,2022-02-13,1,1,1,130.0,130.0,34.0,0.9,2026-05-24 06:07:05.471695
50157,CUST-10157,2,U1003,3,2022-02-09,1,1,1,509.0,509.0,171.0,0.9,2026-05-24 06:07:05.471695
50158,CUST-10158,2,U1003,1,2023-09-05,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50159,CUST-10159,1,U1003,2,2022-03-02,1,1,1,25.0,25.0,203.0,0.972222,2026-05-24 06:07:05.471695
50160,CUST-10160,7,U1016,3,2023-09-27,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50161,CUST-10161,1,U1014,1,2022-04-28,1,1,1,544.0,544.0,0.0,0.9,2026-05-24 06:07:05.471695
50162,CUST-10162,4,U1003,1,2022-05-01,1,1,1,510.0,510.0,223.0,0.9,2026-05-24 06:07:05.471695
50163,CUST-10163,2,U1003,2,2022-03-19,1,1,1,491.0,491.0,162.0,0.9,2026-05-24 06:07:05.471695
50164,CUST-10164,1,U1011,3,2022-03-03,1,1,1,487.0,487.0,432.0,0.9,2026-05-24 06:07:05.471695
50165,CUST-10165,3,U1008,3,2022-09-28,1,1,1,404.0,404.0,0.0,0.9,2026-05-24 06:07:05.471695
50166,CUST-10166,6,U1008,3,2023-12-13,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50167,CUST-10167,5,U1008,3,2024-03-28,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50168,CUST-10168,7,U1003,2,2022-09-12,1,1,1,0.0,0.0,281.0,1.0,2026-05-24 06:07:05.471695
50169,CUST-10169,4,U1011,1,2023-07-19,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50170,CUST-10170,3,U1011,3,2023-04-17,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50171,CUST-10171,2,U1008,2,2023-02-06,1,1,1,101.0,101.0,0.0,0.9,2026-05-24 06:07:05.471695
50172,CUST-10172,4,U1014,1,2023-09-13,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50173,CUST-10173,6,U1016,3,2024-02-10,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50174,CUST-10174,8,U1014,3,2022-11-27,1,1,1,249.0,249.0,0.0,0.9,2026-05-24 06:07:05.471695
50175,CUST-10175,3,U1017,2,2023-05-23,1,1,1,47.0,47.0,0.0,0.947778,2026-05-24 06:07:05.471695
50176,CUST-10176,7,U1014,2,2022-04-12,1,1,1,0.0,0.0,60.0,1.0,2026-05-24 06:07:05.471695
50177,CUST-10177,2,U1017,1,2022-02-19,1,1,1,26.0,26.0,415.0,0.971111,2026-05-24 06:07:05.471695
50178,CUST-10178,2,U1016,2,2023-08-05,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50179,CUST-10179,2,U1003,1,2023-04-16,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50180,CUST-10180,1,U1011,1,2022-06-12,1,1,1,0.0,0.0,246.0,1.0,2026-05-24 06:07:05.471695
50181,CUST-10181,8,U1003,1,2022-05-01,1,1,1,15.0,15.0,317.0,0.983333,2026-05-24 06:07:05.471695
50182,CUST-10182,8,U1014,3,2022-07-14,1,1,1,466.0,466.0,275.0,0.9,2026-05-24 06:07:05.471695
50183,CUST-10183,2,U1008,2,2022-01-13,1,1,1,131.0,131.0,429.0,0.9,2026-05-24 06:07:05.471695
50184,CUST-10184,5,U1011,3,2023-03-03,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50185,CUST-10185,4,U1017,1,2024-01-14,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50186,CUST-10186,2,U1003,2,2022-09-15,1,1,1,350.0,350.0,0.0,0.9,2026-05-24 06:07:05.471695
50187,CUST-10187,5,U1017,3,2023-07-07,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50188,CUST-10188,7,U1011,3,2023-02-03,1,1,1,100.0,100.0,21.0,0.9,2026-05-24 06:07:05.471695
50189,CUST-10189,6,U1011,2,2023-02-15,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50190,CUST-10190,3,U1014,1,2023-01-28,1,1,1,189.0,189.0,0.0,0.9,2026-05-24 06:07:05.471695
50191,CUST-10191,6,U1011,3,2024-02-08,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50192,CUST-10192,3,U1014,2,2022-12-22,1,1,1,121.0,121.0,24.0,0.9,2026-05-24 06:07:05.471695
50193,CUST-10193,8,U1008,2,2022-08-03,1,1,1,269.0,269.0,0.0,0.9,2026-05-24 06:07:05.471695
50194,CUST-10194,6,U1003,3,2022-04-13,1,1,1,150.0,150.0,43.0,0.9,2026-05-24 06:07:05.471695
50195,CUST-10195,5,U1016,2,2022-09-06,1,1,1,0.0,0.0,250.0,1.0,2026-05-24 06:07:05.471695
50196,CUST-10196,6,U1014,1,2024-03-19,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50197,CUST-10197,8,U1014,2,2022-01-06,1,1,1,387.0,387.0,357.0,0.9,2026-05-24 06:07:05.471695
50198,CUST-10198,5,U1003,2,2024-03-31,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50199,CUST-10199,7,U1008,2,2023-10-22,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50200,CUST-10200,7,U1017,1,2023-01-02,1,1,1,226.0,226.0,138.0,0.9,2026-05-24 06:07:05.471695
50201,CUST-10201,2,U1016,1,2022-01-28,1,1,1,690.0,690.0,278.0,0.9,2026-05-24 06:07:05.471695
50202,CUST-10202,4,U1008,3,2024-01-17,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50203,CUST-10203,7,U1011,1,2023-04-09,1,1,1,95.0,95.0,0.0,0.9,2026-05-24 06:07:05.471695
50204,CUST-10204,3,U1011,1,2022-11-22,1,1,1,194.0,194.0,70.0,0.9,2026-05-24 06:07:05.471695
50205,CUST-10205,5,U1014,2,2022-06-20,1,1,1,0.0,0.0,261.0,1.0,2026-05-24 06:07:05.471695
50206,CUST-10206,6,U1017,2,2022-05-08,1,1,1,216.0,216.0,26.0,0.9,2026-05-24 06:07:05.471695
50207,CUST-10207,1,U1014,2,2024-03-25,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50208,CUST-10208,2,U1014,1,2022-04-15,1,1,1,498.0,498.0,71.0,0.9,2026-05-24 06:07:05.471695
50209,CUST-10209,7,U1016,1,2022-01-28,1,1,1,326.0,326.0,410.0,0.9,2026-05-24 06:07:05.471695
50210,CUST-10210,4,U1014,3,2022-03-15,1,1,1,0.0,0.0,261.0,1.0,2026-05-24 06:07:05.471695
50211,CUST-10211,1,U1011,3,2023-07-17,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50212,CUST-10212,5,U1017,1,2022-08-11,1,1,1,228.0,228.0,77.0,0.9,2026-05-24 06:07:05.471695
50213,CUST-10213,8,U1003,2,2023-04-11,1,1,1,0.0,0.0,30.0,1.0,2026-05-24 06:07:05.471695
50214,CUST-10214,4,U1003,3,2022-03-27,1,1,1,126.0,126.0,71.0,0.9,2026-05-24 06:07:05.471695
50215,CUST-10215,4,U1017,3,2023-02-08,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50216,CUST-10216,3,U1017,1,2023-08-26,1,1,1,0.0,0.0,0.0,1.0,2026-05-24 06:07:05.471695
50217,CUST-10217,6,U1008,2,2022-11-21,1,1,1,88.0,88.0,0.0,0.902222,2026-05-24 06:07:05.471695
50218,CUST-10218,8,U1003,1,2022-12-31,1,1,1,323.0,323.0,0.0,0.9,2026-05-24 06:07:05.471695
